group gene features_type correlation p_value
CTRL A2M gini -0.293125306300968 0.411100657065758
CTRL ACTR10 tss_coverage -0.221789814908252 0.538004276643833
CTRL AFP tss_score -0.379450060385627 0.279494471276208
CTRL AKR1C3 tss_coverage 0.180860267077945 0.617057444618193
CTRL AKT1 tss_score 0.00287563673787245 0.993709596653224
CTRL CCR9 gini 0.292658397903969 0.411881068906818
CTRL CHD9 tss_coverage 0.379246534009095 0.279773812121945
CTRL CRY1 tss_score -0.267194290464773 0.455483611436448
CTRL DOCK4 tss_score -0.28391898644079 0.426616934998972
CTRL EPB41L1 tss_coverage 0.810922539573446 0.00442016645230851
CTRL EPHA6 tss_coverage -0.259293688543317 0.469416331553086
CTRL EPHB2 tss_score 0.228139027829274 0.526119263410758
CTRL EZH2 tss_score 0.0241209957155773 0.947266010830078
CTRL FAF1 tss_score 0.0201934257977592 0.955844889329842
CTRL HLA-DQA1 gini 0.427838116994534 0.217420918286356
CTRL IFNG gini 0.374235245289182 0.286699436792266
CTRL KCNJ15 gini 0.229785676306392 0.523054540564428
CTRL KLRC1 gini -0.38638718386196 0.270063796505862
CTRL MITF gini 0.814758165016749 0.00409242486675849
CTRL MUC22 gini 0.109506592286099 0.763306278603462
CTRL NFAT5 tss_score -0.377940046352163 0.28157057016441
CTRL NLRC4 gini -0.686984984476048 0.028188898876216
CTRL NSRP1 tss_coverage -0.519276393199879 0.124006655628357
CTRL PAFAH1B1 gini -0.0867725730708537 0.811607759433024
CTRL PELI1 gini 0.0705960230685546 0.846338542843986
CTRL PHF21B tss_score -0.0104900591332988 0.977055520598315
CTRL PSMA3 tss_coverage 0.512500322971935 0.12986489690077
CTRL PTPRF tss_coverage -0.490977301206935 0.149590438515034
CTRL RANBP9 tss_score -0.278997429625563 0.435021555944983
CTRL RHOBTB1 tss_score -0.256655217060914 0.474110643276953
CTRL RIN2 gini 0.866830036429722 0.00116803777132604
CTRL RNF38 tss_coverage 0.00046460921078954 0.998983667570785
CTRL RUNX1T1 gini -0.0429245208401012 0.906275426785476
CTRL SCN3A tss_coverage 0.0392945385185955 0.914175796603147
CTRL SCN3A tss_score 0.252171353034522 0.482135092357415
CTRL SERPINB5 tss_coverage 0.0121208014758378 0.973489641738701
CTRL SLC12A6 gini -0.179336085734283 0.62007756637685
CTRL SLC16A4 tss_score -0.150345818636141 0.678452234761131
CTRL SMG1 tss_coverage -0.216265517289177 0.548431531411685
CTRL TAC1 gini 0.310301221453164 0.38288473840483
CTRL TFDP2 gini 0.124120190692972 0.732631439864706
CTRL THRB tss_score -0.534638371888641 0.111341928150323
CTRL TRAM1 tss_coverage 0.440910007480899 0.202150178144428
CTRL TRIM24 tss_coverage 0.671899536804372 0.0333391902656024
CTRL VAPB tss_coverage -0.257975420313438 0.471759198769503
CTRL ZFPM2 tss_coverage -0.426143884621266 0.219447056312312
EPE A2M gini 0.367452914388294 0.330624313294055
EPE ACTR10 tss_coverage 0.536380317622155 0.136553634259471
EPE AFP tss_score 0.665337138539269 0.0504928017677218
EPE AKR1C3 tss_coverage 0.782411602394783 0.0126949475407583
EPE AKT1 tss_score -0.320364190648547 0.400632094280237
EPE CCR9 gini 0.218027834829941 0.573057920809428
EPE CHD9 tss_coverage -0.336134460624511 0.376473456918249
EPE CRY1 tss_score 0.357643564699535 0.344673878190088
EPE DOCK4 tss_score 0.719311694599576 0.0289376383692493
EPE EPB41L1 tss_coverage -0.455187278660375 0.218258060440414
EPE EPHA6 tss_coverage 0.0359179594813134 0.926907153546132
EPE EPHB2 tss_score -0.225120918694819 0.560316914099398
EPE EZH2 tss_score -0.037734607897009 0.923218845040589
EPE FAF1 tss_score -0.465269515012489 0.206929837923422
EPE HLA-DQA1 gini -0.187641255099822 0.628779307740006
EPE IFNG gini -0.148455317849475 0.703068755837122
EPE KCNJ15 gini 0.551086339535589 0.124079509636891
EPE KLRC1 gini -0.111888834774501 0.774426545882078
EPE MITF gini -0.449946875222035 0.224277580788934
EPE MUC22 gini 0.304063742018224 0.426327570689847
EPE NFAT5 tss_score 0.149214903352574 0.701605618070173
EPE NLRC4 gini 0.467275332245808 0.204715942232877
EPE NSRP1 tss_coverage -0.191113912547391 0.62232221629501
EPE PAFAH1B1 gini 0.101051853272757 0.795882603620942
EPE PELI1 gini -0.205603921657154 0.595622994104926
EPE PHF21B tss_score -0.178778649120082 0.645356675952737
EPE PSMA3 tss_coverage -0.11657992579017 0.765178702661333
EPE PTPRF tss_coverage 0.367998580423341 0.329851244210494
EPE RANBP9 tss_score 0.693325184230013 0.0383535442750994
EPE RHOBTB1 tss_score 0.0856798652659745 0.826518675803955
EPE RIN2 gini -0.159195565864918 0.682460810936241
EPE RNF38 tss_coverage 0.187984143969117 0.628140759259546
EPE RUNX1T1 gini 6.25805679543677e-06 0.999987251191384
EPE SCN3A tss_coverage 0.314426612704386 0.409907874543679
EPE SCN3A tss_score -0.07073826719339 0.856492746810291
EPE SERPINB5 tss_coverage -0.00110713810163861 0.997744559083866
EPE SLC12A6 gini 0.162562026060921 0.676037905145102
EPE SLC16A4 tss_score 0.35658324666271 0.346209705764806
EPE SMG1 tss_coverage 0.051497390067319 0.895321950444893
EPE TAC1 gini 0.398050585880863 0.288679279073029
EPE TFDP2 gini 0.192051424055969 0.620582789644955
EPE THRB tss_score 0.168736745526213 0.66430419357205
EPE TRAM1 tss_coverage 0.212373593653054 0.583288927700216
EPE TRIM24 tss_coverage 0.501211610231639 0.169270696520027
