group gene features_type correlation p_value
CTRL ABR gini -0.00681865486989081 0.985084885949132
CTRL AKAP9 tss_coverage -0.467586591758296 0.17297703936933
CTRL ANKRD29 gini 0.257426490599675 0.472736286711351
CTRL ARIH2 gini 0.397859675634287 0.254855497416168
CTRL ATF3 tss_coverage 0.170510454235304 0.637664809266401
CTRL CCL11 tss_coverage 0.500204080683837 0.140925021940107
CTRL CD80 gini 0.892599448029913 0.000510391935566028
CTRL CGA gini -0.288453753482299 0.418940356466132
CTRL CHD9 tss_coverage 0.379246534009095 0.279773812121945
CTRL CLTB tss_coverage 0.574379154900979 0.0824568505480771
CTRL CYP19A1 tss_coverage 0.883525892739187 0.000698015843998543
CTRL DDR2 tss_coverage -0.282791822973032 0.428535105421705
CTRL ERVFRD-1 tss_coverage -0.169588017282388 0.639512605466933
CTRL FLYWCH1 gini 0.299805194542181 0.400012655050503
CTRL FOLR1 tss_coverage -0.27832878978883 0.436169242017299
CTRL GOLGB1 tss_coverage 0.570150738086674 0.0852702429682432
CTRL H3C3 tss_coverage 0.707163839753085 0.0221883059652895
CTRL HHEX tss_coverage -0.429103062698778 0.215915179680953
CTRL IL31RA gini 0.13706831079916 0.70573310542554
CTRL ITCH tss_coverage 0.0996098431440295 0.784252623301532
CTRL KLHDC8A tss_coverage 0.910014466753342 0.000257029893897353
CTRL LRP1B gini -0.271058014548692 0.448738414844796
CTRL MYCBP2 gini 0.129695415764701 0.721015543210805
CTRL POLD1 gini -0.575687123055649 0.08159886536979
CTRL PRDM1 gini 0.639738260843003 0.0463732112474333
CTRL SLC16A4 gini 0.205899744121409 0.568208317241266
CTRL STRA6 tss_coverage -0.446378807474254 0.195951799618783
CTRL SYNGR1 tss_coverage 0.253224034857995 0.480245914296645
CTRL THRB tss_coverage -0.714981286360768 0.0201218502356595
CTRL TXK gini -0.276879132538126 0.438662275123849
CTRL VEPH1 gini -0.105647397147254 0.771458524907632
CTRL WDR62 gini -0.374798447822997 0.285916530650329
CTRL WDTC1 gini -0.547088436334249 0.101698013253673
LPE ABR gini 0.276162922408335 0.439896374518547
LPE AKAP9 tss_coverage -0.422894624519227 0.223362939558017
LPE ANKRD29 gini -0.0479682645240786 0.895310528686856
LPE ARIH2 gini -0.227464342157731 0.527377089887073
LPE ATF3 tss_coverage 0.535350594682781 0.110775351398976
LPE CCL11 tss_coverage -0.647303312603875 0.0430450253135143
LPE CD80 gini 0.03467556821766 0.924238333780425
LPE CGA gini 0.45334089054038 0.188223473203503
LPE CHD9 tss_coverage -0.00977773603437314 0.978613247164725
LPE CLTB tss_coverage -0.137729571666766 0.704366984136756
LPE CYP19A1 tss_coverage -0.212675455856585 0.555250162181934
LPE DDR2 tss_coverage 0.805222579784902 0.00494129512932653
LPE ERVFRD-1 tss_coverage 0.0458408691235373 0.89993355364666
LPE FLYWCH1 gini 0.360478149159836 0.306179399172748
LPE FOLR1 tss_coverage -0.474650371800359 0.165699168617316
LPE GOLGB1 tss_coverage 0.795514516858485 0.00592763424492134
LPE H3C3 tss_coverage -0.360561427065004 0.306059428865167
LPE HHEX tss_coverage -0.40106866655048 0.250688546818321
LPE IL31RA gini 0.363755593108065 0.301476677603786
LPE ITCH tss_coverage 0.414616563773699 0.233517811280425
LPE KLHDC8A tss_coverage 0.519243642839101 0.124034567644344
LPE LRP1B gini -0.766157757948314 0.00975668378230672
LPE MYCBP2 gini 0.19669476091724 0.585993981105942
LPE POLD1 gini -0.897962362935185 0.00041862510776177
LPE PRDM1 gini -0.127459925968966 0.725667124888137
LPE SLC16A4 gini 0.420227934389119 0.226606255937303
LPE STRA6 tss_coverage -0.142559210329077 0.694412552327846
LPE SYNGR1 tss_coverage -0.213041404357541 0.55455360479671
LPE THRB tss_coverage 0.371062109953503 0.291131917436419
LPE TXK gini 0.303053839135368 0.394672643971904
LPE VEPH1 gini -0.473055657955376 0.167325895575045
LPE WDR62 gini 0.148671001627249 0.6818756664853
LPE WDTC1 gini 0.494436676421088 0.146304597458594
