n	features	TSS	database	col1	col2
0	TSS score	chr1:22709838:22711839:+:EPHB2,EPHB2,EPHB2;NM_001309192.2,NM_001309193.2,NM_017449.5;mRNA,mRNA,mRNA:tss_score	cPE	"#996699"	"#003262"
1	TSS coverage	chr1:22709838:22711839:+:EPHB2,EPHB2,EPHB2;NM_001309192.2,NM_001309193.2,NM_017449.5;mRNA,mRNA,mRNA:tss_score	dbPEC	"#996699"	"#339900"
0	TSS coverage	chr1:22709838:22711839:+:EPHB2,EPHB2,EPHB2;NM_001309192.2,NM_001309193.2,NM_017449.5;mRNA,mRNA,mRNA:tss_score	GeneCards	"#996699"	"orange"
0	TSS score	chr1:22709837:22711838:+:EPHB2,EPHB2,EPHB2;NM_004442.7,XM_006710442.5,XM_047449104.1;mRNA,mRNA,mRNA:tss_score	cPE	"#996699"	"#003262"
1	TSS coverage	chr1:22709837:22711838:+:EPHB2,EPHB2,EPHB2;NM_004442.7,XM_006710442.5,XM_047449104.1;mRNA,mRNA,mRNA:tss_score	dbPEC	"#996699"	"#339900"
0	TSS coverage	chr1:22709837:22711838:+:EPHB2,EPHB2,EPHB2;NM_004442.7,XM_006710442.5,XM_047449104.1;mRNA,mRNA,mRNA:tss_score	GeneCards	"#996699"	"orange"
1	TSS score	chr7:100693249:100695250:-:GIGYF1,GIGYF1,GIGYF1,GIGYF1,GIGYF1,GIGYF1,GIGYF1,GIGYF1,GIGYF1,GIGYF1;NM_001375759.1,NM_001375760.1,NM_001375761.1,NM_001375762.1,NM_001375763.1,NM_001375764.1,NM_001375765.1,NM_001375766.1,NM_001375767.1,NM_001375768.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_score	cPE	"#996699"	"#003262"
0	TSS coverage	chr7:100693249:100695250:-:GIGYF1,GIGYF1,GIGYF1,GIGYF1,GIGYF1,GIGYF1,GIGYF1,GIGYF1,GIGYF1,GIGYF1;NM_001375759.1,NM_001375760.1,NM_001375761.1,NM_001375762.1,NM_001375763.1,NM_001375764.1,NM_001375765.1,NM_001375766.1,NM_001375767.1,NM_001375768.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_score	dbPEC	"#996699"	"#339900"
0	TSS coverage	chr7:100693249:100695250:-:GIGYF1,GIGYF1,GIGYF1,GIGYF1,GIGYF1,GIGYF1,GIGYF1,GIGYF1,GIGYF1,GIGYF1;NM_001375759.1,NM_001375760.1,NM_001375761.1,NM_001375762.1,NM_001375763.1,NM_001375764.1,NM_001375765.1,NM_001375766.1,NM_001375767.1,NM_001375768.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_score	GeneCards	"#996699"	"orange"
1	TSS score	chr17:7883795:7885796:+:CHD3,CHD3,CHD3,CHD3,CHD3,CHD3,CHD3,CHD3,CHD3,CHD3,CHD3,CHD3,CHD3,CHD3,CHD3,CHD3,CHD3,CHD3,CHD3,CHD3,CHD3;NM_001005271.3,XM_005256427.5,XM_005256428.5,XM_005256429.5,XM_005256431.5,XM_006721423.4,XM_006721424.4,XM_006721428.4,XM_017024064.2,XM_017024065.2,XM_047435190.1,XM_047435191.1,XM_047435192.1,XM_047435196.1,XM_047435198.1,XM_047435202.1,XM_047435206.1,XM_047435207.1,XM_047435208.1,XM_047435213.1,XM_047435214.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_score	cPE	"#996699"	"#003262"
