n	features	TSS	database	col1	col2
1	Gini	chr17:2612656:2614657:+:PAFAH1B1,PAFAH1B1;XM_047436163.1,XM_047436164.1;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr17:2612656:2614657:+:PAFAH1B1,PAFAH1B1;XM_047436163.1,XM_047436164.1;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr17:2612656:2614657:+:PAFAH1B1,PAFAH1B1;XM_047436163.1,XM_047436164.1;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr16:67998483:68000484:-:DPEP2,DPEP2,DPEP2,DPEP2,DPEP2;NM_022355.4,XM_011523266.2,XM_024450374.2,XM_047434461.1,XM_047434462.1;mRNA,mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr16:67998483:68000484:-:DPEP2,DPEP2,DPEP2,DPEP2,DPEP2;NM_022355.4,XM_011523266.2,XM_024450374.2,XM_047434461.1,XM_047434462.1;mRNA,mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr16:67998483:68000484:-:DPEP2,DPEP2,DPEP2,DPEP2,DPEP2;NM_022355.4,XM_011523266.2,XM_024450374.2,XM_047434461.1,XM_047434462.1;mRNA,mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr8:27773553:27775554:+:ESCO2,ESCO2;NM_001017420.3,XM_011544422.3;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr8:27773553:27775554:+:ESCO2,ESCO2;NM_001017420.3,XM_011544422.3;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr8:27773553:27775554:+:ESCO2,ESCO2;NM_001017420.3,XM_011544422.3;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr15:34336015:34338016:-:SLC12A6,SLC12A6,SLC12A6,SLC12A6;NM_001042497.2,NM_133647.2,XM_006720793.5,XM_011522269.4;mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr15:34336015:34338016:-:SLC12A6,SLC12A6,SLC12A6,SLC12A6;NM_001042497.2,NM_133647.2,XM_006720793.5,XM_011522269.4;mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr15:34336015:34338016:-:SLC12A6,SLC12A6,SLC12A6,SLC12A6;NM_001042497.2,NM_133647.2,XM_006720793.5,XM_011522269.4;mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr16:67999618:68001619:-:DPEP2,DPEP2,DPEP2,DPEP2,DPEP2;XM_011523273.4,XM_011523274.4,XM_017023547.2,XM_024450373.2,XM_024450376.2;mRNA,mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr16:67999618:68001619:-:DPEP2,DPEP2,DPEP2,DPEP2,DPEP2;XM_011523273.4,XM_011523274.4,XM_017023547.2,XM_024450373.2,XM_024450376.2;mRNA,mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr16:67999618:68001619:-:DPEP2,DPEP2,DPEP2,DPEP2,DPEP2;XM_011523273.4,XM_011523274.4,XM_017023547.2,XM_024450373.2,XM_024450376.2;mRNA,mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr3:9422118:9424119:+:SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5;XM_047448467.1,XM_047448469.1,XM_047448470.1,XM_047448472.1,XM_047448475.1,XM_047448484.1,XM_047448491.1,XM_047448493.1,XM_047448494.1,XM_047448498.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr3:9422118:9424119:+:SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5;XM_047448467.1,XM_047448469.1,XM_047448470.1,XM_047448472.1,XM_047448475.1,XM_047448484.1,XM_047448491.1,XM_047448493.1,XM_047448494.1,XM_047448498.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr3:9422118:9424119:+:SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5;XM_047448467.1,XM_047448469.1,XM_047448470.1,XM_047448472.1,XM_047448475.1,XM_047448484.1,XM_047448491.1,XM_047448493.1,XM_047448494.1,XM_047448498.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr2:32263885:32265886:-:NLRC4,NLRC4;NM_001199138.2,XM_047445356.1;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr2:32263885:32265886:-:NLRC4,NLRC4;NM_001199138.2,XM_047445356.1;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr2:32263885:32265886:-:NLRC4,NLRC4;NM_001199138.2,XM_047445356.1;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr5:178130013:178132014:+:RMND5B,RMND5B,RMND5B,RMND5B,RMND5B,RMND5B;NM_001288794.2,NM_001288795.2,NM_022762.5,XM_005265969.5,XM_017009728.2,XM_047417525.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr5:178130013:178132014:+:RMND5B,RMND5B,RMND5B,RMND5B,RMND5B,RMND5B;NM_001288794.2,NM_001288795.2,NM_022762.5,XM_005265969.5,XM_017009728.2,XM_047417525.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr5:178130013:178132014:+:RMND5B,RMND5B,RMND5B,RMND5B,RMND5B,RMND5B;NM_001288794.2,NM_001288795.2,NM_022762.5,XM_005265969.5,XM_017009728.2,XM_047417525.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr12:116276692:116278693:-:MED13L,MED13L,MED13L;NM_015335.5,XM_017019090.2,XM_047428608.1;mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr12:116276692:116278693:-:MED13L,MED13L,MED13L;NM_015335.5,XM_017019090.2,XM_047428608.1;mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr12:116276692:116278693:-:MED13L,MED13L,MED13L;NM_015335.5,XM_017019090.2,XM_047428608.1;mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr4:38803790:38805791:-:TLR1,TLR1;NM_003263.4,XM_024454196.2;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr4:38803790:38805791:-:TLR1,TLR1;NM_003263.4,XM_024454196.2;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr4:38803790:38805791:-:TLR1,TLR1;NM_003263.4,XM_024454196.2;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr2:24506456:24508457:+:NCOA1;XM_047446152.1;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr2:24506456:24508457:+:NCOA1;XM_047446152.1;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr2:24506456:24508457:+:NCOA1;XM_047446152.1;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr5:141429506:141431507:+:PCDHGA12,PCDHGA12;NM_003735.3,NM_032094.2;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr5:141429506:141431507:+:PCDHGA12,PCDHGA12;NM_003735.3,NM_032094.2;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
