n	features	TSS	database	col1	col2
0	Gini	chr2:142114447:142116448:-:LRP1B;XM_017004341.2;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr2:142114447:142116448:-:LRP1B;XM_017004341.2;mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr2:142114447:142116448:-:LRP1B;XM_017004341.2;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr16:67999618:68001619:-:DPEP2,DPEP2,DPEP2,DPEP2,DPEP2;XM_011523273.4,XM_011523274.4,XM_017023547.2,XM_024450373.2,XM_024450376.2;mRNA,mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr16:67999618:68001619:-:DPEP2,DPEP2,DPEP2,DPEP2,DPEP2;XM_011523273.4,XM_011523274.4,XM_017023547.2,XM_024450373.2,XM_024450376.2;mRNA,mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr16:67999618:68001619:-:DPEP2,DPEP2,DPEP2,DPEP2,DPEP2;XM_011523273.4,XM_011523274.4,XM_017023547.2,XM_024450373.2,XM_024450376.2;mRNA,mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr6:106085335:106087336:+:PRDM1,PRDM1;NM_001198.4,XM_047419247.1;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr6:106085335:106087336:+:PRDM1,PRDM1;NM_001198.4,XM_047419247.1;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr6:106085335:106087336:+:PRDM1,PRDM1;NM_001198.4,XM_047419247.1;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr5:81749747:81751748:-:SSBP2;NM_001400361.1;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr5:81749747:81751748:-:SSBP2;NM_001400361.1;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr5:81749747:81751748:-:SSBP2;NM_001400361.1;mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr5:81749748:81751749:-:SSBP2;NM_001400360.1;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr5:81749748:81751749:-:SSBP2;NM_001400360.1;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr5:81749748:81751749:-:SSBP2;NM_001400360.1;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr10:102110143:102112144:-:LDB1;XM_017016869.2;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr10:102110143:102112144:-:LDB1;XM_017016869.2;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr10:102110143:102112144:-:LDB1;XM_017016869.2;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr16:67998483:68000484:-:DPEP2,DPEP2,DPEP2,DPEP2,DPEP2;NM_022355.4,XM_011523266.2,XM_024450374.2,XM_047434461.1,XM_047434462.1;mRNA,mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr16:67998483:68000484:-:DPEP2,DPEP2,DPEP2,DPEP2,DPEP2;NM_022355.4,XM_011523266.2,XM_024450374.2,XM_047434461.1,XM_047434462.1;mRNA,mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr16:67998483:68000484:-:DPEP2,DPEP2,DPEP2,DPEP2,DPEP2;NM_022355.4,XM_011523266.2,XM_024450374.2,XM_047434461.1,XM_047434462.1;mRNA,mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr21:38255990:38257991:+:KCNJ15;NM_170736.3;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr21:38255990:38257991:+:KCNJ15;NM_170736.3;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr21:38255990:38257991:+:KCNJ15;NM_170736.3;mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr5:81749847:81751848:-:SSBP2,SSBP2;NM_001400362.1,NM_001400368.1;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr5:81749847:81751848:-:SSBP2,SSBP2;NM_001400362.1,NM_001400368.1;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr5:81749847:81751848:-:SSBP2,SSBP2;NM_001400362.1,NM_001400368.1;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr19:50394024:50396025:+:POLD1;XM_047438950.1;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr19:50394024:50396025:+:POLD1;XM_047438950.1;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr19:50394024:50396025:+:POLD1;XM_047438950.1;mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr19:50394023:50396024:+:POLD1;XM_011527038.2;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr19:50394023:50396024:+:POLD1;XM_011527038.2;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr19:50394023:50396024:+:POLD1;XM_011527038.2;mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr6:106086753:106088754:+:PRDM1,PRDM1;XM_006715550.4,XM_011536062.4;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr6:106086753:106088754:+:PRDM1,PRDM1;XM_006715550.4,XM_011536062.4;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr6:106086753:106088754:+:PRDM1,PRDM1;XM_006715550.4,XM_011536062.4;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr10:102114001:102116002:-:LDB1;NM_003893.5;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr10:102114001:102116002:-:LDB1;NM_003893.5;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr10:102114001:102116002:-:LDB1;NM_003893.5;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr13:77226148:77228149:-:MYCBP2;XM_011535005.2;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr13:77226148:77228149:-:MYCBP2;XM_011535005.2;mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr13:77226148:77228149:-:MYCBP2;XM_011535005.2;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr12:43843857:43845858:+:TMEM117;XM_017020022.2;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr12:43843857:43845858:+:TMEM117;XM_017020022.2;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr12:43843857:43845858:+:TMEM117;XM_017020022.2;mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr6:134173865:134175866:-:SGK1,SGK1;NM_001291995.2,NM_005627.4;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr6:134173865:134175866:-:SGK1,SGK1;NM_001291995.2,NM_005627.4;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr6:134173865:134175866:-:SGK1,SGK1;NM_001291995.2,NM_005627.4;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr1:145706367:145708368:-:PDZK1,PDZK1,PDZK1;NM_001201325.2,NM_001371359.1,NM_001371361.1;mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr1:145706367:145708368:-:PDZK1,PDZK1,PDZK1;NM_001201325.2,NM_001371359.1,NM_001371361.1;mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr1:145706367:145708368:-:PDZK1,PDZK1,PDZK1;NM_001201325.2,NM_001371359.1,NM_001371361.1;mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr4:48094223:48096224:-:TXK;XM_011513748.4;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr4:48094223:48096224:-:TXK;XM_011513748.4;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr4:48094223:48096224:-:TXK;XM_011513748.4;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr6:87094105:87096106:-:CGA,CGA;NM_000735.4,NM_001252383.2;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr6:87094105:87096106:-:CGA,CGA;NM_000735.4,NM_001252383.2;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr6:87094105:87096106:-:CGA,CGA;NM_000735.4,NM_001252383.2;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr1:145706399:145708400:-:PDZK1,PDZK1,PDZK1,PDZK1,PDZK1;NM_001201326.1,NM_002614.4,XM_047422527.1,XM_047422528.1,XM_047422529.1;mRNA,mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
