n	features	TSS	database	col1	col2
0	TSS coverage	chr3:96865822:96867823:+:EPHA6;XM_017006212.1;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr3:96865822:96867823:+:EPHA6;XM_017006212.1;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
1	TSS coverage	chr3:96865822:96867823:+:EPHA6;XM_017006212.1;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr11:1388933:1390934:+:BRSK2,BRSK2,BRSK2,BRSK2,BRSK2,BRSK2,BRSK2,BRSK2,BRSK2;NM_001256627.2,NM_001256629.2,NM_003957.4,XM_005253218.4,XM_006718374.3,XM_017018533.2,XM_017018536.2,XM_047427850.1,XM_047427851.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr11:1388933:1390934:+:BRSK2,BRSK2,BRSK2,BRSK2,BRSK2,BRSK2,BRSK2,BRSK2,BRSK2;NM_001256627.2,NM_001256629.2,NM_003957.4,XM_005253218.4,XM_006718374.3,XM_017018533.2,XM_017018536.2,XM_047427850.1,XM_047427851.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr11:1388933:1390934:+:BRSK2,BRSK2,BRSK2,BRSK2,BRSK2,BRSK2,BRSK2,BRSK2,BRSK2;NM_001256627.2,NM_001256629.2,NM_003957.4,XM_005253218.4,XM_006718374.3,XM_017018533.2,XM_017018536.2,XM_047427850.1,XM_047427851.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr1:22709838:22711839:+:EPHB2,EPHB2,EPHB2;NM_001309192.2,NM_001309193.2,NM_017449.5;mRNA,mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr1:22709838:22711839:+:EPHB2,EPHB2,EPHB2;NM_001309192.2,NM_001309193.2,NM_017449.5;mRNA,mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr1:22709838:22711839:+:EPHB2,EPHB2,EPHB2;NM_001309192.2,NM_001309193.2,NM_017449.5;mRNA,mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr1:22709837:22711838:+:EPHB2,EPHB2,EPHB2;NM_004442.7,XM_006710442.5,XM_047449104.1;mRNA,mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr1:22709837:22711838:+:EPHB2,EPHB2,EPHB2;NM_004442.7,XM_006710442.5,XM_047449104.1;mRNA,mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr1:22709837:22711838:+:EPHB2,EPHB2,EPHB2;NM_004442.7,XM_006710442.5,XM_047449104.1;mRNA,mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr4:3765384:3767385:+:ADRA2C;NM_000683.4;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr4:3765384:3767385:+:ADRA2C;NM_000683.4;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
1	TSS coverage	chr4:3765384:3767385:+:ADRA2C;NM_000683.4;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr12:14418213:14420214:+:ATF7IP;XM_047429148.1;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr12:14418213:14420214:+:ATF7IP;XM_047429148.1;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr12:14418213:14420214:+:ATF7IP;XM_047429148.1;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr12:10389040:10391041:-:KLRK1;NM_007360.4;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr12:10389040:10391041:-:KLRK1;NM_007360.4;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr12:10389040:10391041:-:KLRK1;NM_007360.4;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr1:22562488:22564489:+:EPHA8,EPHA8;NM_001006943.3,NM_020526.5;mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr1:22562488:22564489:+:EPHA8,EPHA8;NM_001006943.3,NM_020526.5;mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr1:22562488:22564489:+:EPHA8,EPHA8;NM_001006943.3,NM_020526.5;mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr1:22562826:22564827:+:EPHA8,EPHA8,EPHA8;XM_011540969.2,XM_011540970.2,XM_011540972.2;mRNA,mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr1:22562826:22564827:+:EPHA8,EPHA8,EPHA8;XM_011540969.2,XM_011540970.2,XM_011540972.2;mRNA,mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr1:22562826:22564827:+:EPHA8,EPHA8,EPHA8;XM_011540969.2,XM_011540970.2,XM_011540972.2;mRNA,mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr17:30167900:30169901:+:NSRP1;XM_047436921.1;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr17:30167900:30169901:+:NSRP1;XM_047436921.1;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
1	TSS coverage	chr17:30167900:30169901:+:NSRP1;XM_047436921.1;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr17:63895573:63897574:-:CSH1;NM_001317.6;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr17:63895573:63897574:-:CSH1;NM_001317.6;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr17:63895573:63897574:-:CSH1;NM_001317.6;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr12:14416967:14418968:+:ATF7IP,ATF7IP;NM_001388183.1,NM_001388184.1;mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr12:14416967:14418968:+:ATF7IP,ATF7IP;NM_001388183.1,NM_001388184.1;mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr12:14416967:14418968:+:ATF7IP,ATF7IP;NM_001388183.1,NM_001388184.1;mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr8:105443313:105445314:+:ZFPM2;XM_047421633.1;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr8:105443313:105445314:+:ZFPM2;XM_047421633.1;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr8:105443313:105445314:+:ZFPM2;XM_047421633.1;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr4:154562010:154564011:+:FGB,FGB,FGB,FGB,FGB,FGB,FGB,FGB;NM_001382759.1,NM_001382760.1,NM_001382761.1,NM_001382762.1,NM_001382763.1,NM_001382764.1,NM_001382765.1,NM_005141.5;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr4:154562010:154564011:+:FGB,FGB,FGB,FGB,FGB,FGB,FGB,FGB;NM_001382759.1,NM_001382760.1,NM_001382761.1,NM_001382762.1,NM_001382763.1,NM_001382764.1,NM_001382765.1,NM_005141.5;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
1	TSS coverage	chr4:154562010:154564011:+:FGB,FGB,FGB,FGB,FGB,FGB,FGB,FGB;NM_001382759.1,NM_001382760.1,NM_001382761.1,NM_001382762.1,NM_001382763.1,NM_001382764.1,NM_001382765.1,NM_005141.5;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr4:154561979:154563980:+:FGB;NM_001184741.1;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr4:154561979:154563980:+:FGB;NM_001184741.1;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
1	TSS coverage	chr4:154561979:154563980:+:FGB;NM_001184741.1;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr8:104114625:104116626:+:RIMS2;XM_006716698.4;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr8:104114625:104116626:+:RIMS2;XM_006716698.4;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr8:104114625:104116626:+:RIMS2;XM_006716698.4;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr14:58208032:58210033:+:ACTR10;XM_047431587.1;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr14:58208032:58210033:+:ACTR10;XM_047431587.1;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr14:58208032:58210033:+:ACTR10;XM_047431587.1;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr19:42936206:42938207:-:PSG7,PSG7;NM_001206650.2,NM_002783.3;mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr19:42936206:42938207:-:PSG7,PSG7;NM_001206650.2,NM_002783.3;mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
1	TSS coverage	chr19:42936206:42938207:-:PSG7,PSG7;NM_001206650.2,NM_002783.3;mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr7:127385120:127387121:-:ZNF800;XM_047419949.1;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr7:127385120:127387121:-:ZNF800;XM_047419949.1;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr7:127385120:127387121:-:ZNF800;XM_047419949.1;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr16:53207450:53209451:+:CHD9,CHD9,CHD9;NM_001352158.3,NM_001382354.1,NM_001382355.1;mRNA,mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
